Array,SimSub,AIC_TD,AIC_TDRS,RealAlphaPos,RealAlphaNeg,RealBeta,RecAlphaPos,RecAlphaNeg,RecBeta
2,628,21.5590261,23.59677302,0.676735847,0.753474784,27.39487241,0.756233998,0.768946386,21.74616516
2,629,55.49612482,29.21618908,0.815429254,0.316937684,29.79590194,0.718167623,0.317849941,22.16168786
2,630,88.57976595,89.48476582,0.971622882,0.690851131,7.564720834,0.776464221,0.652544656,7.227426568
2,631,113.7386766,93.18484444,0.79739963,0.120738478,4.191523306,0.461324262,0.099220129,6.394886734
2,632,99.61496277,38.72257257,0.823962402,0.175981732,16.98873718,0.789444508,0.178743554,18.14663636
2,633,61.89419566,43.04722076,0.50817387,0.294892493,25.69751701,0.518472832,0.27435724,18.60430733
2,634,74.80215542,71.91401186,0.439129125,0.351912444,23.58320936,0.47823722,0.359477618,12.1851327
2,635,115.8114093,70.3837571,0.704456215,0.087227545,11.57530774,0.646622648,0.058024324,9.202578669
2,636,124.081068,99.48763746,0.900975763,0.041012838,5.751019583,0.027660761,0.007921923,29.99993201
2,637,93.15252782,44.53752763,0.729577057,0.237166901,18.62053753,0.71009891,0.220037039,15.23700962
2,638,49.77946927,48.90877055,0.494667117,0.440728303,27.98294851,0.544679624,0.425774476,17.76897621
2,639,104.981506,87.45163122,0.451765962,0.903703126,10.13266958,0.357029131,0.869667765,8.185473378
2,640,130.4277525,131.4519209,0.686113241,0.633703226,3.76825861,0.614985902,0.466306213,3.525770686
2,641,90.18801624,73.05653797,0.639722951,0.357113854,16.19327931,0.619930685,0.325656784,11.04240034
2,642,144.9129824,41.10237275,0.102505314,0.54803446,28.54677011,0.068270657,0.488202668,17.95499817
2,643,54.48030452,48.82186439,0.969581661,0.583338966,12.99053302,0.871366141,0.602306096,13.51088513
2,644,117.0699014,78.30171501,0.822041364,0.114401853,9.712143851,0.737130939,0.172154326,8.239496814
2,645,42.33442447,34.05559406,0.603445708,0.971601804,17.46075786,0.510430435,0.91196944,16.68053744
2,646,64.13227183,46.67901547,0.466862871,0.700486313,17.80340741,0.398380015,0.676211557,16.93134529
2,647,31.83304014,31.37754067,0.549629714,0.70671059,23.79716001,0.593894158,0.749949902,19.19400918
2,648,115.1265672,56.31275383,0.768728087,0.038324829,19.5404147,0.752107818,0.083087759,10.94008406
2,649,104.4596564,37.45289884,0.563419664,0.124713389,26.18232627,0.765371308,0.155001022,16.64189739
2,650,52.54837659,54.85902788,0.963119653,0.845640772,9.289413181,0.853982813,0.853534985,11.06680547
2,651,123.9414006,96.47268351,0.981473734,0.042409469,5.726996833,0.600174561,0.099645769,5.774511945
2,652,33.48254827,35.12416422,0.652099719,0.91011883,21.35584995,0.698109328,0.833051898,16.50274785
2,653,80.66705705,54.07548673,0.280750679,0.405243082,17.8114402,0.216468058,0.331361474,22.76939791
2,654,145.957745,36.48387732,0.113111648,0.930985266,27.29928532,0.100183208,0.919689899,16.79422383
2,655,85.06555018,75.28562315,0.496832542,0.403027865,10.78759562,0.745618626,0.40242144,10.05237755
2,656,154.0496125,156.0322456,0.194570001,0.308842766,2.224913363,0.43737323,0.513299421,0.731701978
2,657,98.42720114,37.15025081,0.829869755,0.070367445,28.16972832,0.754330901,0.107622478,15.4502705
2,658,132.779666,42.61811969,0.107170515,0.612378226,25.66261549,0.103377243,0.707840562,16.35810178
2,659,137.7151436,95.11504718,0.039242028,0.273853843,11.60403112,0.068625465,0.300366389,9.542180405
2,660,146.4963993,104.3672742,0.004942672,0.123704585,10.10525396,0.092245275,0.472539923,7.617940976
2,661,81.67772645,38.1248694,0.319865977,0.102280421,29.12207023,0.445113294,0.131066197,17.14201008
2,662,150.477388,153.9068042,0.052979458,0.041307218,1.297750275,0.326807105,0.286930562,1.291869059
2,663,63.56527503,65.73591212,0.154023231,0.152269884,25.90494581,0.189742916,0.174490676,18.04474225
2,664,92.51620508,81.27412667,0.52043781,0.304089985,11.88218159,0.720143962,0.378350431,8.76773743
2,665,75.89386148,75.50200017,0.240473781,0.310280959,18.89177459,0.212682162,0.252711184,13.36983254
2,666,97.64069764,95.35829746,0.393717672,0.291281206,9.617535822,0.447368883,0.293025147,7.911923963
2,667,22.10719995,23.76525361,0.773243841,0.85336687,28.78672874,0.695129294,0.844475509,20.04736692
2,668,42.24250632,28.09902545,0.653563142,0.339652203,29.13019065,0.503739818,0.311760286,24.87963758
2,669,124.5977179,86.57860601,0.815071299,0.074614631,6.742324766,0.538976607,0.02288725,8.356834543
2,670,112.6300716,47.74685987,0.19855623,0.951075707,17.13816663,0.254885938,0.891953177,15.29071237
2,671,75.43061354,35.27921712,0.773970728,0.205681054,26.06794009,0.747333111,0.246074047,16.10303563
2,672,150.640568,151.7319025,0.472600295,0.714519232,0.307668576,0.379080841,0.608888938,1.660454901
2,673,78.6996166,57.03471436,0.334843009,0.168312606,21.77574947,0.763871832,0.271379751,12.17188096
2,674,144.752391,133.1689339,0.163032647,0.552977414,4.266473035,0.13547194,0.530684766,3.985515689
2,675,135.8813222,137.0666976,0.627838818,0.521020791,3.346541215,0.585967525,0.423832255,2.799108334
2,676,94.88020286,38.29812021,0.578728716,0.110556664,27.02210201,0.660807251,0.141443818,15.46462551
2,677,102.1723857,83.35624153,0.150024218,0.058473028,18.98364439,0.175862934,0.0653598,10.62696898
2,678,132.6034638,93.52965521,0.515526368,0.072233529,7.219301145,0.510403767,0.041465663,6.724126231
2,679,138.5841826,84.37789585,0.534877902,0.001919442,16.64966842,0.584318718,0.010221681,8.795691504
2,680,140.518199,87.52242338,0.015871449,0.714353393,6.357709933,0.08013766,0.529282491,8.691790139
2,681,106.1273089,73.21950465,0.071138783,0.157940807,20.30887481,0.09461104,0.192076014,17.86437275
2,682,76.9434665,78.33044764,0.761828039,0.518465429,10.24982114,0.646215838,0.559443408,9.491182017
2,683,102.5360755,103.1396172,0.397168895,0.412580182,9.805988663,0.535333211,0.423588032,6.833325304
2,684,58.05483523,33.94155189,0.304013588,0.632971831,25.72362463,0.358760416,0.638116576,20.43789927
2,685,36.26327561,34.42079726,0.913241705,0.675714011,27.15360184,0.802472587,0.626219013,19.20399758
2,686,35.40485738,37.40122699,0.987400543,0.944132685,22.49131004,0.888096907,0.868986226,15.48131426
2,687,148.446979,143.1396871,0.79314838,0.173578787,1.766999516,0.606792967,0.125701074,1.974831832
2,688,76.86537536,42.30401333,0.854441522,0.397949375,16.24548457,0.844732914,0.369114121,16.74115227
2,689,141.1327152,73.45883397,0.121786293,0.845012006,18.7855738,0.121182968,0.682127814,29.99999944
2,690,55.1788524,54.78376482,0.246979113,0.222596609,27.66075894,0.283435517,0.225820179,16.96889021
