Array,SimSub,AIC_TD,AIC_TDRS,RealAlpha,RealBeta,RecAlpha,RecBeta
13,6191,58.54239389,60.61011672,0.863463365,11.23681121,0.755934864,11.15641073
13,6192,60.11308654,62.07799088,0.410841505,18.08781806,0.460131826,15.16332802
13,6193,99.53753648,101.4784077,0.369546332,8.219239015,0.424730818,7.684743221
13,6194,47.83964133,47.59476275,0.153893759,29.04965255,0.202233918,22.93446789
13,6195,45.82213467,47.96777719,0.186282972,26.34260642,0.268268305,18.75057006
13,6196,112.0144576,113.1812366,0.156514894,8.317650995,0.122090602,8.382438745
13,6197,94.55107894,96.71831988,0.195732957,13.5859018,0.238860998,9.695683527
13,6198,96.15626274,98.95933246,0.046428022,26.32604719,0.123176821,11.15185975
13,6199,98.72816703,100.2804843,0.913452909,6.037695391,0.881467356,5.601902826
13,6200,28.29947583,30.33731697,0.791072531,25.80860782,0.812785189,18.09061073
13,6201,100.8418945,102.7110548,0.644805576,7.213072187,0.692927178,6.131659707
13,6202,109.0049529,109.9758459,0.706032176,4.67844513,0.816100131,4.69958545
13,6203,71.32772649,74.43912397,0.939040314,9.678597481,0.930024532,7.596767266
13,6204,131.2530918,132.4518233,0.077276756,7.40742261,0.160198975,5.096310008
13,6205,57.52453513,59.26220301,0.348223783,21.85203492,0.271791732,17.79902675
13,6206,58.68035239,52.2715893,0.229510147,22.90581489,0.21136995,20.45450843
13,6207,83.73569427,85.68945334,0.244534101,9.267148917,0.343441448,10.8625199
13,6208,153.8586228,155.8196767,0.088189007,0.942350612,0.227583406,0.934823575
13,6209,51.78282121,53.73721822,0.826058861,12.32625657,0.745636264,13.00117407
13,6210,116.3288009,118.8984546,0.154272645,9.375295383,0.170624148,6.984870676
13,6211,36.67592325,39.03551936,0.991780869,13.12237579,0.917725599,13.07371306
13,6212,79.62620933,107.9082995,0.427093144,10.96037272,0.411474727,9.725726792
13,6213,33.79031863,35.77151967,0.641918302,22.42220178,0.649956272,17.5803266
13,6214,70.13250815,70.92129583,0.285981367,12.96623574,0.345196044,11.38038261
13,6215,151.4113751,153.380782,0.251761355,2.236423084,0.479605316,1.24890376
13,6216,79.17453323,81.17268043,0.373233791,17.20733972,0.369852784,11.67011445
13,6217,35.96783411,33.80882394,0.78048626,18.36649192,0.740249172,18.07290439
13,6218,35.48585551,35.30828748,0.714953155,13.53432429,0.600494106,15.60003314
13,6219,63.83374658,66.24952555,0.166181407,20.35085389,0.226237518,16.17430749
13,6220,75.76471587,77.6832572,0.436317256,12.39743999,0.48017178,11.15483376
13,6221,131.8790445,133.4359929,0.60665999,3.650450852,0.505951207,3.700936097
13,6222,71.0936027,72.81937528,0.504464445,14.19539554,0.48025191,11.63598615
13,6223,78.35028378,79.97626806,0.57947981,8.418302065,0.599955279,8.52080242
13,6224,47.58234336,49.77393779,0.778243785,14.59928932,0.868595673,12.99593657
13,6225,30.07950422,29.68023458,0.376502217,25.53349056,0.45810571,20.36497646
13,6226,98.01706839,97.71973935,0.387399398,8.359006083,0.3973756,8.5240251
13,6227,138.6572483,138.8556494,0.377391184,2.69640933,0.560212954,2.714734994
13,6228,57.79462115,59.78852599,0.660437628,12.82935238,0.678320869,12.90227743
13,6229,62.85232476,59.98970451,0.107611232,28.07854513,0.169203254,19.50612275
13,6230,98.47175527,100.9109524,0.096900507,14.71166643,0.117731645,11.37007978
13,6231,57.45339318,59.34665209,0.326529531,23.65569747,0.442638916,15.19266066
13,6232,92.14243099,94.46961265,0.120827916,15.52410559,0.128415399,12.69107971
13,6233,38.6972657,40.75103038,0.941625444,27.77994038,0.924570225,14.11371779
13,6234,44.35932309,45.00767817,0.460987976,18.31397889,0.522477795,18.21628764
13,6235,105.131136,106.3343674,0.571403905,7.39834735,0.608613741,5.850797809
13,6236,47.30478751,48.94354543,0.689920095,11.9808016,0.678372042,14.60071575
13,6237,121.6219633,123.8912065,0.084803649,9.970859565,0.076650589,8.074663008
13,6238,53.79631394,55.79638766,0.671387495,12.89635031,0.736966007,11.35621935
13,6239,42.39025702,43.70515629,0.656343144,19.69261405,0.579092989,17.94182692
13,6240,62.14960458,64.5714406,0.155254541,28.58905477,0.17512788,18.96114081
13,6241,28.99397231,28.1573908,0.641561691,26.50986481,0.619817546,21.94685796
13,6242,121.6957918,96.26307216,0.344898492,12.50284208,0.389688059,29.99999929
13,6243,82.60310307,84.63216911,0.222514785,15.08111053,0.291683835,11.77389913
13,6244,153.6826637,154.8177202,0.04907438,1.30396391,0.45752386,0.853429013
13,6245,46.55006594,48.52203696,0.378211242,28.49983123,0.422775566,17.10672958
13,6246,57.66372316,59.95551602,0.217238783,22.03676448,0.194244214,19.6050739
13,6247,150.8980291,152.9412926,0.90538416,1.258172921,0.587883924,1.20570472
13,6248,21.121188,23.29289154,0.659355332,25.8133978,0.757492865,17.755186
13,6249,108.122727,109.4895687,0.958144943,4.639821579,0.854578111,4.952731747
13,6250,39.49545199,36.92990705,0.421109961,29.77184697,0.425268441,19.99158682
13,6251,128.7116139,130.6915179,0.915825622,1.438795283,0.600445995,3.499663013
13,6252,95.51512681,97.1346674,0.803159369,8.260770444,0.740257032,6.640725525
13,6253,72.94144416,75.23500282,0.915815501,7.432539567,0.894243092,8.363369824
13,6254,108.9106026,110.7716234,0.43064825,5.868770537,0.445895865,6.665486267
13,6255,143.0344224,144.603865,0.60921648,2.431821071,0.537909839,2.389754424
13,6256,99.94026681,102.0781479,0.2777222,11.2668691,0.294942907,8.587794823
13,6257,111.3276656,113.0221452,0.650862087,5.580732883,0.467502368,5.780290032
