Array,SimSub,AIC_TD,AIC_TDRS,AIC_Util,AIC_FourLR,RealAlpha,RealBeta,RealRho,RecAlpha,RecBeta,RecRho
20,9603,134.907368918913,132.444532353236,123.574580947201,135.093443310923,0.559476606215039,5.45331376804889,2.12831147599299,0.646456994938547,4.61823906297147,2.28970459968839
20,9604,152.221495954987,154.218810174282,153.441369581941,157.355718784279,0.609721698380661,0.910483325788967,2.35516870097795,0.599466770633461,1.15816992208107,1.82097344232477
20,9605,131.821385969206,129.644980261853,128.171321440057,132.340652256947,0.280400760442272,2.02613595802861,0.822325645427171,0.274476220535557,4.93605529113547,0.654836422382137
20,9606,133.415745233304,131.582103420513,130.568111597062,136.958694289051,0.060034679120627,5.02221701594476,1.18910984582217,0.178851699879695,4.77517090997639,1.56753216724326
20,9607,120.742936793215,118.1507426298,117.19801053449,120.408024626849,0.379133071000437,4.27491186096886,0.852874271787809,0.372442284812256,4.94269800622395,0.649995013277669
20,9608,111.738156655767,97.6365782955779,97.7820623558476,99.4237599838349,0.363089589510809,7.95447872396367,1.53671563426213,0.373044737581937,8.08754641173967,1.83507715246242
20,9609,154.46876659592,156.422695985846,156.055438347574,160.554445596488,0.266576141611418,1.13746177032758,1.06804878281171,0.274577087642606,0.772448919469494,0.548146471625562
20,9610,128.116525593436,108.175265349091,110.621263089194,108.504981100987,0.355908513877267,6.91180398975999,0.403166284509953,0.418964211962895,4.15954015132206,0.304087458325064
20,9611,150.30868685507,152.687574279364,152.308750264082,156.662575178943,0.432549185119213,0.620548195119913,2.12132081238826,0.210674428846478,1.86447818745299,0.993156024588179
20,9612,82.8627311830566,42.8628633183435,44.4535612566833,45.7400954898883,0.483225264426755,9.49115382915114,0.515061949395599,0.426430037683455,13.3127126736725,0.455263388437987
20,9613,83.1603638959991,85.0327798767342,84.9395878850767,88.214830707756,0.483864775248061,12.2672069640534,1.07758742246581,0.489402901378578,9.14917349409188,0.932838499621765
20,9614,142.12429842511,141.481334698526,138.819954755138,148.248034666903,0.232516567915086,2.35633081069865,1.96107704238169,0.0642595776267145,4.54417959175881,1.70272772121965
20,9615,115.869334347325,116.730813052941,116.048840100816,120.680338594728,0.167322307251762,10.0197229045115,1.17841011734983,0.477922546943883,5.88089745458047,1.23957856829091
20,9616,150.502267784307,153.060794750834,152.309480322016,157.101009981832,0.108953219326313,1.7736075573221,2.17228293595267,0.17543157119986,1.84358095414207,1.20004734126518
20,9617,125.646709773957,111.5286827614,107.515334471955,114.981854621813,0.234119043159791,7.18063071738939,0.434621312851806,0.333943336662525,6.24435458946082,0.514212530319861
20,9618,122.10328229637,115.423616792608,110.967034916961,119.580024726267,0.0763648754764886,6.43025385887396,1.97870051369492,0.197023572994127,6.55233761404801,1.90152137435922
20,9619,139.914504208351,139.90210941422,140.520999804842,150.940089943213,0.44832622652045,3.23684736141691,0.93333121692443,0.4418595766105,2.79822726931674,0.724058274972254
20,9620,152.757209030429,153.734525074379,152.349650790819,157.665749501402,0.268866076504562,0.895696524376843,1.76973028332615,0.540396008904074,1.31371807580838,2.31826326018897
20,9621,118.699880438441,104.316790069218,103.449688086933,108.739194577842,0.13827635618551,7.77542366279617,2.0614036565652,0.138495607357236,7.6543634893341,1.91951803331109
20,9622,123.479067416605,114.0684636887,105.852377561529,117.957388788676,0.492841027497744,6.1406061692999,2.12778420917221,0.632539809929898,7.7221562623894,2.5
20,9623,146.877398328412,148.748888411213,148.753933316078,150.746596444825,0.506963472833604,0.843867970316577,2.38847466588726,0.309823469607838,2.11128482072491,0.867407816752941
20,9624,105.074094515851,99.7966987250084,85.450914385648,103.355115845759,0.662612656751464,8.3384446320308,2.23700510246716,0.572589822098397,12.1807011081225,2.29449845635957
20,9625,121.723799931531,81.4805052888009,76.8719170085575,84.4342028474707,0.26142662793327,9.89944404759464,0.483316749533914,0.204507252965413,10.4853150020927,0.438665697262148
20,9626,130.25163686832,121.699512754809,120.403888499147,125.997966673791,0.565541356559062,6.37358919786416,2.17971279188551,0.495014219525116,5.48622560615894,2.11984603177785
20,9627,110.90335883355,104.962400926625,98.12528219135,108.915277890179,0.681353094069005,10.0649633988536,1.53982479024772,0.733598624334553,9.25644627004783,1.91211733325748
20,9628,103.708633563525,81.7718447040149,69.0254786959292,85.1363316453604,0.507098632425273,6.49636339134867,0.351767253009108,0.568968747875624,5.81531100054581,0.231299315840228
20,9629,88.6368060601105,80.7206222869871,75.7307191237379,83.160930496177,0.706419555241806,11.6981628774661,2.23310228596383,0.594050563709574,13.0082258146124,1.74363478575845
20,9630,126.467157313685,112.929876637504,111.11479416771,117.933365191153,0.0494584623502546,9.17965414581961,2.08278846287208,0.170037802367427,6.19393968754106,2.16428449502569
20,9631,86.1119684391284,66.0757773262449,49.8313151462031,70.306362702067,0.606785399503918,7.23641398888244,0.120920788715467,0.679769406138619,8.91571132507296,0.283066540517749
20,9632,123.214902930646,56.7567166487051,43.7160442649758,59.654794328375,0.226827572761802,10.6180332047921,0.144535732280485,0.384737151433238,11.4145397504871,0.246404116236671
