subj,trialExp,trialRoom,rt,signedPE,reward,condition,imageShown,estimate,absPE,risk,signedErr,absErr,learningRate,lrcat,deck,exp,scenetype,alphapos,alphaneg,AsymmIdx,modval,modelrpe,AbsRPE,PositiveRPE
A100Y89FZO4J0B,30,14,1452122979390,0,60,lowfirst,Outdoor_84.jpg,60,0,high,20,20,NaN,NaN,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.5,0.1,0.1,1
A100Y89FZO4J0B,31,15,1452122989489,90,100,lowfirst,Indoor_32.jpg,10,90,high,-50,50,NaN,70,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.5,0.5,0.5,1
A10DEO061A6L3O,0,0,1452205248180,10,60,highfirst,Outdoor_73.jpg,50,10,high,10,10,-3,10,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.5,0.1,0.1,1
A10DEO061A6L3O,1,1,1452205256335,10,40,highfirst,Indoor_37.jpg,30,10,high,-30,30,4,10,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.5,-0.1,0.1,0
A10DEO061A6L3O,2,2,1452205264072,-20,0,highfirst,Outdoor_61.jpg,20,20,high,-20,20,-2.5,-10,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.505122004497352,-0.505122004497352,0.505122004497352,0
A10DEO061A6L3O,3,3,1452205271856,10,80,highfirst,Indoor_14.jpg,70,10,high,10,10,-5,10,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.409784766872278,0.390215233127722,0.390215233127722,1
A10DEO061A6L3O,4,4,1452205281210,10,80,highfirst,Outdoor_76.jpg,70,10,high,30,30,-2,10,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.0494250105606439,0.750574989439356,0.750574989439356,1
A10DEO061A6L3O,5,5,1452205289389,-30,20,highfirst,Outdoor_60.jpg,50,30,high,10,10,-1.33333333333333,-30,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.08786949527573,0.11213050472427,0.11213050472427,1
A10DEO061A6L3O,6,6,1452205297449,0,20,highfirst,Indoor_5.jpg,20,0,high,-40,40,NaN,NaN,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.429771608662434,-0.229771608662434,0.229771608662434,0
A10DEO061A6L3O,7,7,1452205306222,60,100,highfirst,Indoor_28.jpg,40,60,high,-20,20,0.666666666666667,50,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.222482616246302,0.777517383753698,0.777517383753698,1
A10DEO061A6L3O,8,8,1452205313935,-90,0,highfirst,Outdoor_81.jpg,90,90,high,50,50,0.333333333333333,-70,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.0936128247706111,-0.0936128247706111,0.0936128247706111,0
A10DEO061A6L3O,9,9,1452205321723,0,80,highfirst,Indoor_2.jpg,80,0,high,20,20,NaN,NaN,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.262307091609863,0.537692908390137,0.537692908390137,1
A10DEO061A6L3O,10,10,1452205330675,-60,20,highfirst,Indoor_23.jpg,80,60,high,20,20,0.5,-50,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.289847746559551,-0.0898477465595511,0.0898477465595511,0
A10DEO061A6L3O,11,11,1452205338808,20,80,highfirst,Outdoor_5.jpg,60,20,high,20,20,0,10,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.00915979666635848,0.790840203333642,0.790840203333642,1
A10DEO061A6L3O,12,12,1452205347611,-40,20,highfirst,Outdoor_21.jpg,60,40,high,20,20,0.25,-50,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.0496666674479785,0.150333332552022,0.150333332552022,1
A10DEO061A6L3O,13,13,1452205356657,-10,40,highfirst,Indoor_4.jpg,50,10,high,-10,10,0,-10,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.208791392540847,0.191208607459153,0.191208607459153,1
A10DEO061A6L3O,14,14,1452205364344,10,60,highfirst,Outdoor_18.jpg,50,10,high,10,10,NaN,10,40 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.0573667475023128,0.542633252497687,0.542633252497687,1
A10DEO061A6L3O,15,15,1452205372413,50,100,highfirst,Indoor_66.jpg,50,50,high,-10,10,NaN,50,60 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.21858510601423,0.78141489398577,0.78141489398577,1
A10DEO061A6L3O,16,0,1452205382501,-5,45,highfirst,Outdoor_86.jpg,50,5,low,-10,10,-5,-10,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.0851604470993739,0.364839552900626,0.364839552900626,1
A10DEO061A6L3O,17,1,1452205391518,-5,35,highfirst,Indoor_40.jpg,40,5,low,0,0,-11,-10,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.258609212027163,0.0913907879728373,0.0913907879728373,1
A10DEO061A6L3O,18,2,1452205399179,-50,45,highfirst,Indoor_56.jpg,95,50,low,55,55,1,-50,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.263290252297297,0.186709747702703,0.186709747702703,1
A10DEO061A6L3O,19,3,1452205407013,-10,65,highfirst,Outdoor_63.jpg,75,10,low,15,15,-1,-10,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.103847545407064,0.546152454592936,0.546152454592936,1
A10DEO061A6L3O,20,4,1452205415192,-30,55,highfirst,Outdoor_34.jpg,85,30,low,25,25,-0.333333333333333,-30,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.131821498693715,0.418178501306285,0.418178501306285,1
A10DEO061A6L3O,21,5,1452205423583,10,55,highfirst,Indoor_50.jpg,45,10,low,5,5,0,10,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.272853533971625,0.277146466028375,0.277146466028375,1
A10DEO061A6L3O,22,6,1452205431778,-20,25,highfirst,Indoor_61.jpg,45,20,low,5,5,-2,-10,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.287048988425852,-0.0370489884258515,0.0370489884258515,0
A10DEO061A6L3O,23,7,1452205439472,-20,75,highfirst,Outdoor_24.jpg,95,20,low,35,35,2,-10,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.153240620337584,0.596759379662416,0.596759379662416,1
A10DEO061A6L3O,24,8,1452205447727,-40,45,highfirst,Indoor_58.jpg,85,40,low,45,45,0.5,-50,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.253625157146007,0.196374842853993,0.196374842853993,1
A10DEO061A6L3O,25,9,1452205456572,0,55,highfirst,Outdoor_3.jpg,55,0,low,-5,5,NaN,NaN,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.183806662602265,0.366193337397735,0.366193337397735,1
A10DEO061A6L3O,26,10,1452205465846,-40,25,highfirst,Indoor_18.jpg,65,40,low,25,25,0.5,-50,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.263683485428657,-0.0136834854286571,0.0136834854286571,0
A10DEO061A6L3O,27,11,1452205474683,10,65,highfirst,Outdoor_4.jpg,55,10,low,-5,5,-1,10,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.202563101812782,0.447436898187218,0.447436898187218,1
A10DEO061A6L3O,28,12,1452205483428,30,75,highfirst,Outdoor_32.jpg,45,30,low,-15,15,-0.333333333333333,30,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.225480839860745,0.524519160139255,0.524519160139255,1
A10DEO061A6L3O,29,13,1452205491329,10,55,highfirst,Indoor_75.jpg,45,10,low,5,5,-3,10,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.251338897149196,0.298661102850804,0.298661102850804,1
A10DEO061A6L3O,30,14,1452205499100,10,45,highfirst,Outdoor_45.jpg,35,10,low,-25,25,NaN,10,60 cents,exp1,O,0.051220044973524,0.902152331277219,-0.892549760724234,0.5,-0.05,0.05,0
A10DEO061A6L3O,31,15,1452205507514,20,35,highfirst,Indoor_79.jpg,15,20,low,-25,25,NaN,10,40 cents,exp1,I,0.051220044973524,0.902152331277219,-0.892549760724234,0.5,-0.15,0.15,0
